PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Malik Taylor,2562995,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,396,0.00
Roc Taylor,2574501,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,397,0.00
Trent Taylor,2558202,WR,SF,CHI,,,,,,,,,,,,,30.20,,,,,,,,,,398,0.00
Thayer Thomas,2571213,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,399,0.00
Deven Thompkins,2569314,WR,ATL,LAR,,,,,,,,,,,,,12.10,,,,,,,,,,400,0.00
Tyquan Thornton,2567958,WR,KC,DEN,,,,,,,,,,,,,4.40,,,,,,,,,,401,0.00
Jamari Thrash,2571955,WR,CLE,PIT,,,,,,,,,,,,,17.10,,,,,,,,,,402,0.00
Mitchell Tinsley,2571650,WR,CIN,ARI,,,,,,,,,,,,,36.50,,,,,,,,,,403,0.00
Mason Tipton,2573403,WR,NO,@TEN,,,,,,,,,,,,,40.50,,,,,,,,,,404,0.00
Kadarius Toney,2566376,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,405,0.00
Samori Toure,2567628,WR,NO,@TEN,,,,,,,,,,,,,40.50,,,,,,,,,,406,0.00
Austin Trammell,2566728,WR,JAX,@IND,,,,,,,,,,,,,25.80,,,,,,,,,,407,0.00
DJ Turner,2565666,WR,LV,NYG,,,,,,,,,,,,,22.00,,,,,,,,,,408,0.00
Malik Turner,2561671,WR,SF,CHI,,,,,,,,,,,,,30.20,,,,,,,,,,409,0.00
Chris Tyree,2574410,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,410,0.00
Devaughn Vele,2572006,WR,NO,@TEN,,,,,,,,,,,,,40.50,,,,,,,,,,411,0.00
Jalen Virgil,2568756,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,412,0.00
Dayton Wade,2572645,WR,BAL,@GB,,,,,,,,,,,,,12.20,,,,,,,,,,413,0.00
Devontez Walker,2571844,WR,BAL,@GB,,,,,,,,,,,,,12.20,,,,,,,,,,414,0.00
Tylan Wallace,2565857,WR,BAL,@GB,,,,,,,,,,,,,12.20,,,,,,,,,,415,0.00
Casey Washington,2571820,WR,ATL,LAR,,,,,,,,,,,,,12.10,,,,,,,,,,416,0.00
