PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Thomas Gordon,2574655,TE,CHI,CLE,,,,,,,,,,,,,11.90,,,,,,,,,,114,0.00
Cam Grandy,2572995,TE,CIN,BAL,,,,,,,,,,,,,6.90,,,,,,,,,,115,0.00
Noah Gray,2566178,TE,KC,LAC,,,,,,,,,,,,,12.00,,,,,,,,,,116,0.00
Seth Green,2568864,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,117,0.00
Patrick Herbert,2574216,TE,JAX,NYJ,,,,,,,,,,,,,6.10,,,,,,,,,,118,0.00
Tyler Higbee,2555364,TE,LAR,DET,,,,,,,,,,,,,27.70,,,,,,,,,,119,0.00
Dallin Holker,2573373,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,120,0.00
Austin Hooper,2555415,TE,NE,BUF,,,,,,,,,,,,,2.30,,,,,,,,,,121,0.00
Zach Horton,2574111,TE,DET,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,122,0.00
Hayden Hurst,2560747,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,123,0.00
Tyree Jackson,2562435,TE,WAS,@NYG,,,,,,,,,,,,,7.10,,,,,,,,,,124,0.00
Michael Jacobson,2567204,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,125,0.00
E.J. Jenkins,2570602,TE,PHI,LV,,,,,,,,,,,,,23.50,,,,,,,,,,126,0.00
Neal Johnson,2573719,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,127,0.00
Brevin Jordan,2566130,TE,HOU,ARI,,,,,,,,,,,,,21.30,,,,,,,,,,128,0.00
Nikola Kalinic,2567706,TE,CHI,CLE,,,,,,,,,,,,,11.90,,,,,,,,,,129,0.00
Dalton Keene,2564616,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,130,0.00
Ko Kieft,2568306,TE,TB,ATL,,,,,,,,,,,,,7.10,,,,,,,,,,131,0.00
Stevo Klotz,2574520,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,132,0.00
Tucker Kraft,2569768,TE,GB,@DEN,,,,,,,,,,,,,10.50,,,,,,,,,,133,0.00
Lucas Krull,2569092,TE,DEN,GB,,,,,,,,,,,,,1.70,,,,,,,,,,134,0.00
Zack Kuntz,2570182,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,135,0.00
Luke Lachey,2574173,TE,HOU,ARI,,,,,,,,,,,,,21.30,,,,,,,,,,136,0.00
Marshall Lang,2574566,TE,NE,BUF,,,,,,,,,,,,,2.30,,,,,,,,,,137,0.00
Sam LaPorta,2569726,TE,DET,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,138,0.00
Cameron Latu,2570302,TE,PHI,LV,,,,,,,,,,,,,23.50,,,,,,,,,,139,0.00
Keleki Latu,2573965,TE,BUF,@NE,,,,,,,,,,,,,25.00,,,,,,,,,,140,0.00
Marcedes Lewis,2495888,TE,DEN,GB,,,,,,,,,,,,,1.70,,,,,,,,,,141,0.00
Isaiah Likely,2567283,TE,BAL,@CIN,,,,,,,,,,,,,4.60,,,,,,,,,,142,0.00
Caleb Lohner,2574093,TE,DEN,GB,,,,,,,,,,,,,1.70,,,,,,,,,,143,0.00
Hunter Long,2566286,TE,JAX,NYJ,,,,,,,,,,,,,6.10,,,,,,,,,,144,0.00
Johnny Lumpkin,2571225,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,145,0.00
Tyler Mabry,2565168,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,146,0.00
Will Mallory,2569849,TE,IND,@SEA,,,,,,,,,,,,,3.40,,,,,,,,,,147,0.00
Maximilian Mang,2574192,TE,NYG,WAS,,,,,,,,,,,,,13.70,,,,,,,,,,148,0.00
Chris Manhertz,2552622,TE,NYG,WAS,,,,,,,,,,,,,13.70,,,,,,,,,,149,0.00
Moliki Matavao,2574401,TE,NO,CAR,,,,,,,,,,,,,6.40,,,,,,,,,,150,0.00
Sean McKeon,2563854,TE,IND,@SEA,,,,,,,,,,,,,3.40,,,,,,,,,,151,0.00
Tre' McKitty,2566490,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,152,0.00
Tanner McLachlan,2571937,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,153,0.00
James Mitchell,2567556,TE,CAR,@NO,,,,,,,,,,,,,3.80,,,,,,,,,,154,0.00
Zaire Mitchell-Paden,2568654,TE,NO,CAR,,,,,,,,,,,,,6.40,,,,,,,,,,155,0.00
Foster Moreau,2562317,TE,NO,CAR,,,,,,,,,,,,,6.40,,,,,,,,,,156,0.00
Johnny Mundt,2558875,TE,JAX,NYJ,,,,,,,,,,,,,6.10,,,,,,,,,,157,0.00
Jordan Murray,2571714,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,158,0.00
Nick Muse,2567922,TE,NYJ,@JAX,,,,,,,,,,,,,3.80,,,,,,,,,,159,0.00
Chris Myarick,2563210,TE,MIA,@PIT,,,,,,,,,,,,,32.70,,,,,,,,,,160,0.00
