PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Demetric Felton,2565968,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,125,0.00
Jerome Ford,2567469,RB,CLE,BUF,,,,,,,,,,,,,20.20,,,,,,,,,,126,0.00
D'Onta Foreman,2557994,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,127,0.00
Royce Freeman,2560733,RB,LAC,@DAL,,,,,,,,,,,,,20.60,,,,,,,,,,128,0.00
Myles Gaskin,2562270,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,129,0.00
Antonio Gibson,2565276,RB,NE,@BAL,,,,,,,,,,,,,18.50,,,,,,,,,,130,0.00
DJ Giddens,2574188,RB,IND,SF,,,,,,,,,,,,,18.20,,,,,,,,,,131,0.00
Frank Gore Jr.,2572908,RB,BUF,@CLE,,,,,,,,,,,,,37.90,,,,,,,,,,132,0.00
Eric Gray,2570158,RB,NYG,MIN,,,,,,,,,,,,,13.90,,,,,,,,,,133,0.00
Isaac Guerendo,2572498,RB,SF,@IND,,,,,,,,,,,,,31.60,,,,,,,,,,134,0.00
Troy Hairston,2568867,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,135,0.00
Deion Hankins,2574010,RB,CHI,GB,,,,,,,,,,,,,19.80,,,,,,,,,,136,0.00
Kevin Harris,2567934,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,137,0.00
Najee Harris,2566448,RB,LAC,@DAL,,,,,,,,,,,,,20.60,,,,,,,,,,138,0.00
JaMycal Hasty,2565108,RB,MIA,CIN,,,,,,,,,,,,,32.20,,,,,,,,,,139,0.00
Khalil Herbert,2565926,RB,NYJ,@NO,,,,,,,,,,,,,15.30,,,,,,,,,,140,0.00
Justice Hill,2562407,RB,BAL,NE,,,,,,,,,,,,,25.30,,,,,,,,,,141,0.00
